Baseline 100%T,,Nanospheres01,,Baseline 100%T,,Nanospheres2,,Nanospheres3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1059.014648,0.10822393,1059.014648,0.008887643926,1059.014648,0.126216203,1059.014648,1.28216815,1059.014648,0.0002445359132,
1058.011475,0.1122199297,1058.011475,-0.007769597694,1058.011475,0.1167965382,1058.011475,1.391767859,1058.011475,0.0004379783932,
1057.007813,0.118837297,1057.007813,0.007699709851,1057.007813,0.1180432141,1057.007813,1.509942174,1057.007813,0.0003122452181,
1056.003418,0.1373119801,1056.003418,-0.01393750403,1056.003418,0.1318875998,1056.003418,1.50041914,1056.003418,-0.005736178253,
1054.998535,0.1281446218,1054.998535,0.004009080119,1054.998535,0.1083751693,1054.998535,1.623422384,1054.998535,0.01887036301,
1053.992676,0.1230401024,1053.992676,-0.003761872416,1053.992676,0.1284340471,1053.992676,1.399347782,1053.992676,-0.001414330094,
1052.986328,0.1137978956,1052.986328,0.003597372444,1052.986328,0.1054131538,1052.986328,1.441868067,1052.986328,0.0233578179,
1052.009766,0.1276239008,1052.009766,-0.005526954774,1052.009766,0.1160505712,1052.009766,1.58731997,1052.009766,0.01621025614,
1051.001953,0.1226603016,1051.001953,0.006248489488,1051.001953,0.1226886958,1051.001953,1.6165694,1051.001953,0.01017740462,
1049.993408,0.1363127083,1049.993408,-0.01118420437,1049.993408,0.1242677718,1049.993408,1.594657183,1049.993408,0.007980259135,
1049.014893,0.1161506772,1049.014893,0.009057803079,1049.014893,0.1179095283,1049.014893,1.506570339,1049.014893,0.02332156897,
1048.005127,0.1263767481,1048.005127,0.00287746964,1048.005127,0.1316942275,1048.005127,1.498043418,1048.005127,0.001921904739,
1046.994385,0.1294091791,1046.994385,-0.0038761592,1046.994385,0.1165912449,1046.994385,1.618513465,1046.994385,0.01823295653,
1046.013916,0.1261538714,1046.013916,-0.0004589744785,1046.013916,0.1255222857,1046.013916,1.668931484,1046.013916,0.01536079962,
1045.002197,0.1308719069,1045.002197,-0.001977733802,1045.002197,0.1224477589,1045.002197,1.728181362,1045.002197,0.01051278226,
1043.989502,0.1271994114,1043.989502,-0.002628875664,1043.989502,0.1247577444,1043.989502,1.614125013,1043.989502,0.01028935425,
1043.006836,0.1288509369,1043.006836,0.001988107804,1043.006836,0.1258669347,1043.006836,1.392215371,1043.006836,0.006477520335,
1041.99292,0.1364320219,1041.99292,-0.002076724544,1041.99292,0.1330940127,1041.99292,1.57277894,1041.99292,0.009742602706,
1041.009277,0.1452474445,1041.009277,-0.003789997892,1041.009277,0.1392573416,1041.009277,1.630304575,1041.009277,-0.003413130296,
1039.993896,0.1395715475,1039.993896,-0.004010113887,1039.993896,0.1297154725,1039.993896,1.696171403,1039.993896,0.01157988701,
1039.008789,0.1437004507,1039.008789,-0.004195817281,1039.008789,0.1348965019,1039.008789,1.63318634,1039.008789,0.0124640353,
1037.992188,0.1448071599,1037.992188,-0.0009870484937,1037.992188,0.1353805512,1037.992188,1.841498971,1037.992188,0.007208710536,
1037.005615,0.1489578784,1037.005615,-0.009523918852,1037.005615,0.1436843723,1037.005615,1.4664433,1037.005615,0.003804326523,
1035.987793,0.1400835067,1035.987793,0.009697732516,1035.987793,0.145163402,1035.987793,1.552136064,1035.987793,0.0005521879648,
1035,0.1438546777,1035,0.003503704909,1035,0.1411108971,1035,1.480888009,1035,0.008010475896,
1034.011475,0.1493335813,1034.011475,0.0008413317846,1034.011475,0.1398629397,1034.011475,1.478108764,1034.011475,0.01228707749,
1032.991699,0.1515410244,1032.991699,-0.004574875813,1032.991699,0.1500293314,1032.991699,1.436936498,1032.991699,0.001501623541,
1032.001953,0.1501774192,1032.001953,0.001530847163,1032.001953,0.1483990103,1032.001953,1.73651576,1032.001953,0.009993535466,
1031.011719,0.1585856974,1031.011719,-0.0003628214472,1031.011719,0.1468388885,1031.011719,1.802907228,1031.011719,0.006571331993,
1029.989746,0.1559018791,1029.989746,-0.003841676284,1029.989746,0.1557301134,1029.989746,1.606523037,1029.989746,0.002753789769,
1028.998291,0.1607829928,1028.998291,-0.0004127367865,1028.998291,0.1565896422,1028.998291,1.458286047,1028.998291,0.00810730923,
1028.005859,0.1589962542,1028.005859,0.002488987753,1028.005859,0.1543769538,1028.005859,1.511797309,1028.005859,0.01043598633,
1027.012939,0.1591184437,1027.012939,0.002962844213,1027.012939,0.1582584828,1027.012939,1.613770962,1027.012939,0.01248353627,
1025.988525,0.1690751761,1025.988525,-0.004469330423,1025.988525,0.1547850519,1025.988525,1.674314737,1025.988525,0.01474793348,
1024.994141,0.1675339937,1024.994141,0.001189197181,1024.994141,0.1636047661,1024.994141,1.544596791,1024.994141,0.005800391082,
1023.999573,0.1708900779,1023.999573,-0.001343678916,1023.999573,0.1632066071,1023.999573,1.423180819,1023.999573,0.009428425692,
1023.004089,0.1731862426,1023.004089,0.002079393947,1023.004089,0.1643408388,1023.004089,1.542808175,1023.004089,0.01109980606,
1022.007996,0.1784629375,1022.007996,-0.004150026944,1022.007996,0.1683623791,1022.007996,1.645644426,1022.007996,0.01161974017,
1021.011292,0.1816965789,1021.011292,-0.007842109539,1021.011292,0.1753459871,1021.011292,1.510949969,1021.011292,0.002389624482,
1020.014099,0.1831295341,1020.014099,-0.001216488308,1020.014099,0.176218152,1020.014099,1.429745674,1020.014099,0.001248616725,
1018.984924,0.1840699762,1018.984924,-0.002198048867,1018.984924,0.1786791235,1018.984924,1.550184965,1018.984924,0.00346526783,
1017.986328,0.1860592812,1017.986328,-0.0002462092962,1017.986328,0.1777100861,1017.986328,1.548196554,1017.986328,0.009961617179,
1016.987183,0.1912631243,1016.987183,-0.001132224686,1016.987183,0.1825372428,1016.987183,1.482964635,1016.987183,0.006189983338,
1015.987122,0.1913574338,1015.987122,-0.001811599243,1015.987122,0.1868693531,1015.987122,1.571705699,1015.987122,0.007540564984,
1014.986816,0.1975197643,1014.986816,-0.005762745626,1014.986816,0.1870455295,1014.986816,1.504962087,1014.986816,0.005999526475,
1013.985596,0.1949800253,1013.985596,0.003881917335,1013.985596,0.1898636073,1013.985596,1.574669361,1013.985596,0.003272324335,
1013.015198,0.1960214227,1013.015198,0.002811782295,1013.015198,0.1908183247,1013.015198,1.521864176,1013.015198,0.004758158233,
1012.012939,0.1977103949,1012.012939,0.0008952564094,1012.012939,0.1927734464,1012.012939,1.50216198,1012.012939,0.008815255947,
1011.009888,0.2053065598,1011.009888,-0.000941538543,1011.009888,0.1971632242,1011.009888,1.581750154,1011.009888,0.007061321288,
1010.006348,0.2084862292,1010.006348,-0.0009388522012,1010.006348,0.2037601322,1010.006348,1.600466728,1010.006348,0.0005943082506,
1009.002136,0.2067161947,1009.002136,0.007078502327,1009.002136,0.2042847723,1009.002136,1.477648973,1009.002136,0.006003804971,
1007.997314,0.209038645,1007.997314,0.005773449782,1007.997314,0.2049820274,1007.997314,1.419730902,1007.997314,0.006396889687,
1006.991943,0.2142900974,1006.991943,0.003747741692,1006.991943,0.208189413,1006.991943,1.531227708,1006.991943,0.00205967878,
1005.985779,0.2159959227,1005.985779,0.002557204105,1005.985779,0.2102350593,1005.985779,1.547943711,1005.985779,0.006632175762,
1005.010559,0.2157697529,1005.010559,0.00651651388,1005.010559,0.2120424658,1005.010559,1.590893149,1005.010559,0.009442843497,
1004.003296,0.2229058594,1004.003296,-0.00418197317,1004.003296,0.2146935016,1004.003296,1.531603575,1004.003296,0.003731423058,
1002.9953,0.2255031168,1002.9953,-0.002684088191,1002.9953,0.21932289,1002.9953,1.502660155,1002.9953,0.001641654759,
1001.986816,0.2276157141,1001.986816,0.001571217901,1001.986816,0.2176769078,1001.986816,1.488316536,1001.986816,0.004994129296,
1001.009216,0.230757013,1001.009216,1.392687409E-005,1001.009216,0.2193141431,1001.009216,1.575829268,1001.009216,0.009140356444,
999.9994507,0.2323384583,999.9994507,0.003016459523,999.9994507,0.2235097736,999.9994507,1.616313338,999.9994507,0.005374376196,
998.9890747,0.2326601595,998.9890747,-0.0002757533221,998.9890747,0.2261487693,998.9890747,1.600309014,998.9890747,0.003993431106,
998.0097046,0.2337051183,998.0097046,-0.0002151108929,998.0097046,0.231806457,998.0097046,1.492786169,998.0097046,-0.0004065817338,
996.99823,0.2411843091,996.99823,-0.002676730277,996.99823,0.2309870422,996.99823,1.586729646,996.99823,0.004336301237,
995.9859619,0.2378893346,995.9859619,0.001763744745,995.9859619,0.2303416282,995.9859619,1.52061069,995.9859619,0.009413691238,
995.0047607,0.2402398884,995.0047607,-0.0006810432533,995.0047607,0.2339387536,995.0047607,1.510501266,995.0047607,0.006502902601,
993.991394,0.242404595,993.991394,0.001430456177,993.991394,0.237882033,993.991394,1.47345984,993.991394,0.00448854873,
993.0091553,0.2445963025,993.0091553,0.0007706615143,993.0091553,0.2369448096,993.0091553,1.509345055,993.0091553,0.007369313855,
991.9945679,0.2469654381,991.9945679,0.002497683512,991.9945679,0.2387638837,991.9945679,1.478798389,991.9945679,0.007975566201,
991.0109863,0.2482165843,991.0109863,2.829428558E-005,991.0109863,0.2403136641,991.0109863,1.475117564,991.0109863,0.009493639693,
989.9951782,0.2501225471,989.9951782,0.001143437577,989.9951782,0.245023638,989.9951782,1.486271381,989.9951782,0.005664703902,
989.0105591,0.2513102591,989.0105591,0.001987743657,989.0105591,0.2463767827,989.0105591,1.503407359,989.0105591,0.003783148713,
987.9936523,0.2556529939,987.9936523,0.001039529336,987.9936523,0.2470407337,987.9936523,1.526922941,987.9936523,0.00704624597,
987.0076904,0.2564485967,987.0076904,0.003197006881,987.0076904,0.2466380298,987.0076904,1.501030684,987.0076904,0.006837373599,
985.989563,0.2549413741,985.989563,0.003141048597,985.989563,0.2470831573,985.989563,1.533753037,985.989563,0.0116538275,
985.0025635,0.2534152269,985.0025635,0.004529090598,985.0025635,0.2489176542,985.0025635,1.447488427,985.0025635,0.01066925377,
984.0150146,0.2575317621,984.0150146,-0.000463939301,984.0150146,0.2509998083,984.0150146,1.478890777,984.0150146,0.007769092452,
982.9949951,0.259945035,982.9949951,9.604755905E-005,982.9949951,0.2559732795,982.9949951,1.481822491,982.9949951,0.006671735551,
982.0063477,0.2615730166,982.0063477,-0.001061372808,982.0063477,0.2542891502,982.0063477,1.514344931,982.0063477,0.006648919079,
980.9851074,0.2598179877,980.9851074,0.002490055049,980.9851074,0.2559111118,980.9851074,1.484647751,980.9851074,0.005337974057,
979.9953003,0.2614124715,979.9953003,0.0007937155897,979.9953003,0.2546519637,979.9953003,1.520353436,979.9953003,0.009146596305,
979.0047607,0.2623295188,979.0047607,0.001473207143,979.0047607,0.2582447529,979.0047607,1.48993206,979.0047607,0.00567941647,
978.013855,0.2625421882,978.013855,0.003392864717,978.013855,0.2560217679,978.013855,1.531658411,978.013855,0.008589108475,
976.9902954,0.261849016,976.9902954,0.003230282571,976.9902954,0.2562054396,976.9902954,1.52785337,976.9902954,0.00994818937,
975.9981689,0.2630781531,975.9981689,0.001914858585,975.9981689,0.2578433454,975.9981689,1.509000897,975.9981689,0.005831374787,
975.0054932,0.2626535296,975.0054932,0.002112584189,975.0054932,0.2574041188,975.0054932,1.566048026,975.0054932,0.007722396869,
974.0122681,0.2620711625,974.0122681,0.004594253376,974.0122681,0.2581107914,974.0122681,1.461601496,974.0122681,0.005394923966,
972.9863281,0.2621482015,972.9863281,0.001632352592,972.9863281,0.2557302713,972.9863281,1.540254354,972.9863281,0.008431457914,
971.9918823,0.2613541186,971.9918823,0.0019946869,971.9918823,0.2593375146,971.9918823,1.493361235,971.9918823,0.005324032623,
970.9968872,0.2608076632,970.9968872,0.004682478029,970.9968872,0.256775111,970.9968872,1.527211547,970.9968872,0.009033856913,
970.0014648,0.2599725425,970.0014648,0.0002091313072,970.0014648,0.2547003925,970.0014648,1.51015687,970.0014648,0.009595965035,
969.0053101,0.2609999478,969.0053101,0.0003256122,969.0053101,0.2518458962,969.0053101,1.489707708,969.0053101,0.01217115112,
968.008667,0.2575300336,968.008667,0.005833473522,968.008667,0.2538290918,968.008667,1.510337234,968.008667,0.006293398328,
967.0114136,0.257848829,967.0114136,0.001272604917,967.0114136,0.2530920804,967.0114136,1.498189211,967.0114136,0.01008281112,
966.0136108,0.2556634843,966.0136108,0.002821240108,966.0136108,0.2522076666,966.0136108,1.526001692,966.0136108,0.01015991531,
965.0152588,0.2550351024,965.0152588,0.006581529044,965.0152588,0.2530370057,965.0152588,1.530883789,965.0152588,0.005064233206,
963.9841309,0.2567861974,963.9841309,-0.001425992348,963.9841309,0.249629125,963.9841309,1.527734041,963.9841309,0.0102562746,
962.9846802,0.2511692345,962.9846802,0.003254119772,962.9846802,0.2525206208,962.9846802,1.519861698,962.9846802,0.002229394624,
961.9846191,0.2518337369,961.9846191,0.0009264626424,961.9846191,0.2468470037,961.9846191,1.523363352,961.9846191,0.006775948685,
960.9840088,0.246991396,960.9840088,0.003261578735,960.9840088,0.2472155541,960.9840088,1.503326416,960.9840088,0.005228682421,
960.0152588,0.2436828613,960.0152588,0.003664797172,960.0152588,0.2423814833,960.0152588,1.540246367,960.0152588,0.007797001395,
959.0135498,0.2419382632,959.0135498,-0.0001163159613,959.0135498,0.2382463664,959.0135498,1.505018711,959.0135498,0.008271094412,
958.0114136,0.2350673079,958.0114136,0.002500625327,958.0114136,0.230880022,958.0114136,1.52598238,958.0114136,0.008905769326,
957.0085449,0.2290139943,957.0085449,0.004821366165,957.0085449,0.2289785147,957.0085449,1.573423743,957.0085449,0.005806739908,
956.005188,0.2220380902,956.005188,0.004107717425,956.005188,0.2206641734,956.005188,1.496786594,956.005188,0.008967443369,
955.0012817,0.2161991,955.0012817,0.003503339598,955.0012817,0.2155818343,955.0012817,1.538234591,955.0012817,0.008235293441,
953.9968262,0.2095392197,953.9968262,0.002379811602,953.9968262,0.2086780071,953.9968262,1.524158001,953.9968262,0.006503375713,
952.9918213,0.2013420165,952.9918213,0.003159509273,952.9918213,0.2007231861,952.9918213,1.582356453,952.9918213,0.007212316152,
951.986145,0.1932799667,951.986145,0.001989303855,951.986145,0.1930123419,951.986145,1.582385778,951.986145,0.008618099615,
951.0125122,0.1869585663,951.0125122,0.001046068268,951.0125122,0.1862251163,951.0125122,1.555311441,951.0125122,0.006918374915,
950.0058594,0.1789361387,950.0058594,0.004159304779,950.0058594,0.1812511981,950.0058594,1.572881222,950.0058594,0.005864092149,
948.9988403,0.1731373817,948.9988403,0.001533574774,948.9988403,0.1723254472,948.9988403,1.579813361,948.9988403,0.008997781202,
947.9910278,0.1665893942,947.9910278,0.0007092590095,947.9910278,0.1663303524,947.9910278,1.600467801,947.9910278,0.008240517229,
947.0153198,0.1611102521,947.0153198,0.001437702216,947.0153198,0.1610388309,947.0153198,1.613764882,947.0153198,0.008093674667,
946.0065308,0.1562837362,946.0065308,0.001229614019,946.0065308,0.1561405659,946.0065308,1.599566579,946.0065308,0.007987800054,
944.9970703,0.1521621346,944.9970703,0.0006011515507,944.9970703,0.1524879485,944.9970703,1.591889262,944.9970703,0.006295656785,
943.9871216,0.1474225074,943.9871216,0.0009106387733,943.9871216,0.14806813,943.9871216,1.593858242,943.9871216,0.008565293625,
943.0093384,0.1439110786,943.0093384,0.0009919173317,943.0093384,0.1450070441,943.0093384,1.595371723,943.0093384,0.005427005701,
941.998291,0.1395604163,941.998291,0.001273695263,941.998291,0.1405217499,941.998291,1.613724232,941.998291,0.006261304952,
940.9868164,0.1348292232,940.9868164,0.002083113417,940.9868164,0.1375113875,940.9868164,1.57766819,940.9868164,0.005453348625,
