Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
1,171.0036843215852,98.97464030387255,98.97464030387255,63.97464030387255,66.97464030387255,0.0,0.01990253709668637,656.4275075780934,0.11083762463221566,0.17956481080073208,True
2,171.23380252856805,100.01580312518604,100.01580312518604,60.01580312518604,62.01580312518604,0.0,0.014236750172668079,469.55794562555747,0.06631471573037265,0.21468462943508537,True
3,171.46397004958132,104.05695008493149,104.05695008493149,61.056950084931486,65.05695008493149,0.0,0.027558592757095275,908.9403159013151,0.12655681355236595,0.2177566895336871,True
4,171.69418686025367,111.0980811703721,112.0980811703721,68.0980811703721,71.0980811703721,0.003891620566800618,0.014831384591937176,489.17023866461665,0.07229320732173095,0.20515599101769197,True
5,171.92445293621375,103.13919636878768,102.13919636878768,60.13919636878768,62.13919636878768,-0.00423130668118177,0.018439318620700397,608.1674866286234,0.08193560714169179,0.22504646348458932,True
6,172.15476825309023,113.1802956674751,113.1802956674751,71.1802956674751,73.1802956674751,0.0,0.012034372180630557,396.9188901606772,0.06159033232405393,0.19539385040678808,True
7,172.3851327865117,102.2213790537478,102.2213790537478,59.221379053747796,62.221379053747796,0.0,0.021461116102806852,707.8327192544252,0.09482111853270382,0.22633266127740215,True
8,172.61554651210685,109.26244651493585,108.26244651493585,64.26244651493585,69.26244651493585,-0.003993083599354945,0.03653365598566899,1204.9567663100083,0.17212815257954892,0.2122468372440411,True
9,172.8460094055043,100.3034980383859,99.3034980383859,55.3034980383859,59.3034980383859,-0.004351531999178348,0.0346792411138448,1143.794265950696,0.14376372890070258,0.241223856525019,True
10,173.07652144233273,106.34453361146143,106.34453361146143,63.34453361146143,65.34453361146143,0.0,0.013500119686744387,445.2623238396578,0.061854527042951024,0.2182559681908176,True
11,173.30708259822075,111.38555322154275,109.38555322154275,66.38555322154275,71.38555322154275,-0.00786889860890158,0.03940564937465439,1299.681145064028,0.19217349963721536,0.20505246274353267,True
12,173.537692848797,114.42655685602631,112.42655685602631,69.42655685602631,72.42655685602631,-0.007657919742352193,0.0260301317919601,858.528460523282,0.1276073570725168,0.2039861367645729,True
