Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Reference ellipticityDelta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
1,171.0036843215852,116.07125114580163,119.07125114580163,97.07125114580163,98.07125114580163,0.011082251239019087,365.5159401961231,-0.00663116264067768,-218.70968225903923,-0.08191715604932401,0.08094961984135436,True
2,171.23380252856805,110.10211654682075,113.10211654682075,83.10211654682075,83.10211654682075,0.011675064503907717,385.0681677357398,-0.011675064503907717,-385.0681677357398,-0.09119639767287521,0.12802111488862308,True
3,171.46397004958132,113.13297093556093,117.13297093556093,85.13297093556093,85.13297093556093,0.015089966684892426,497.69881961680096,-0.015089966684892426,-497.69881961680096,-0.11515859946675092,0.13103638594744516,True
4,171.69418686025367,124.16381430308661,126.16381430308661,93.16381430308661,95.16381430308661,0.006939764905508731,228.88803361956653,0.002284814892859717,75.35799773220472,0.018484753223910768,0.1236053771009622,True
5,171.92445293621375,112.19464664047496,115.19464664047496,82.19464664047496,83.19464664047496,0.011460161810727986,377.9802252000479,-0.006208313087629205,-204.76321519106256,-0.04491202474546032,0.13823275888394984,True
6,172.15476825309023,124.22546793881475,128.22546793881475,95.22546793881475,97.22546793881475,0.01376365128734407,453.954149957571,-0.004736724701620183,-156.22713701590357,-0.04020105235636985,0.1178258882287605,True
7,172.3851327865117,110.2562781892077,114.2562781892077,80.2562781892077,82.2562781892077,0.01547674479799067,510.45557477487137,-0.004786705355885112,-157.875604050376,-0.03411334809657031,0.14031766516539484,True
8,172.61554651210685,118.28707738276785,121.28707738276785,86.28707738276785,88.28707738276785,0.010877229669103195,358.75389787529537,-0.0009258486207266055,-30.536433598677547,-0.006735675054057228,0.1374544664486036,True
9,172.8460094055043,106.317865510621,107.317865510621,73.317865510621,76.317865510621,0.004065777309236715,134.097881717511,0.013350625090617567,440.33167782929263,0.08628831535558786,0.15472112342906005,True
10,173.07652144233273,113.34864256390551,117.34864256390551,81.34864256390551,86.34864256390551,0.015061746753890276,496.7680669754782,0.010843457501219093,357.64002079108377,0.07821063489368202,0.13864428432219575,True
11,173.30708259822075,121.37940853377268,124.37940853377268,89.37940853377268,93.37940853377268,0.010603470366494653,349.7247406470161,0.008410172010979945,277.38515067959645,0.06534585563344696,0.12870245449315443,True
12,173.537692848797,124.41016341138516,126.41016341138516,91.41016341138516,93.41016341138516,0.006926132219035165,228.4383989644488,0.002473514295253257,81.58170065977222,0.018650491375323423,0.13262461805837344,True
13,173.76835216969016,120.44090718791836,123.44090718791836,89.44090718791836,90.44090718791836,0.010685086713307725,352.41661931835665,-0.005856372288600553,-193.15546787728488,-0.04431072973145634,0.13216600864153888,True
14,173.99906053652884,120.47163985456041,124.47163985456041,89.47163985456041,91.47163985456041,0.014185589230171458,467.8705502042975,-0.0045845215310638225,-151.2071565275652,-0.034865486087415104,0.13149168549004203,True
15,174.22981792494173,118.50236140251127,120.50236140251127,86.50236140251127,89.50236140251127,0.007268552926434274,239.73215364553153,0.007537977527478076,248.61834330488153,0.05670634579308158,0.13293005257266538,True
16,174.46062431055742,134.53307182298317,135.53307182298317,98.53307182298317,101.53307182298317,0.0032162229658554823,106.0777937524076,0.009809280368174323,323.5306851550827,0.07525778765934019,0.13034239609296966,True
17,174.6914796690046,107.56377110720109,110.56377110720109,73.56377110720109,75.56377110720109,0.011946823326153825,394.03134491675723,-0.00029718393032825835,-9.801750687861784,-0.001799472003148573,0.16515062741085693,True
18,174.92238397591188,124.59445924640204,127.59445924640204,90.59445924640204,92.59445924640204,0.010333086134044892,340.80690032680064,-0.0008497234482314261,-28.025665398512615,-0.0061209586988411465,0.13882195421320198,True
19,175.15333720690793,116.62513623183554,118.62513623183554,82.62513623183554,84.62513623183554,0.007384560127673445,243.55831498368664,0.003002632148647511,99.03311964376135,0.020263593692765303,0.14817865943095465,True
20,175.38433933762138,126.65580205476317,127.65580205476317,94.65580205476317,95.65580205476317,0.0034154691588585574,112.64935200309955,0.0011486085912770306,37.883525657655895,0.00912292491740388,0.12590354537346027,True
21,175.6153903436809,111.68645670645901,111.68645670645901,76.68645670645901,78.68645670645901,0.0,0.0,0.011181317555405681,368.7833555429545,0.07090642212678454,0.15769118254779346,True
22,175.8464902007151,106.71710017820988,107.71710017820988,72.71710017820988,73.71710017820988,0.004050637720233795,133.59854624954207,0.0018810535402655542,62.041099637646056,0.01135511480718565,0.16565693717823105,True
23,176.07763888435264,93.74773246131417,94.74773246131417,57.74773246131417,62.74773246131417,0.004608053106504563,151.98327734778584,0.03145504729533381,1037.4535767233797,0.16155788350169287,0.19469831254012568,True
24,176.3088363702222,107.77835354708327,108.77835354708327,72.77835354708327,74.77835354708327,0.0040109362083542,132.28910693717702,0.007762736129643998,256.03135443556175,0.04658164777065233,0.16664795045173836,True
25,176.54008263395235,101.80896342684059,103.80896342684059,67.80896342684059,67.80896342684059,0.008448838786738402,278.66046221972323,-0.008448838786738402,-278.66046221972323,-0.046750127985009826,0.18072332955853032,True
26,176.7713776511718,113.83956209192183,115.83956209192183,79.83956209192183,79.83956209192183,0.007563690620179421,249.4664151497962,-0.007563690620179421,-249.4664151497962,-0.04791485120813518,0.15785691553802064,True
27,177.00272139750916,117.87014953367543,118.87014953367543,83.87014953367543,83.87014953367543,0.0036689745396768962,121.01049231801565,-0.0036689745396768962,-121.01049231801565,-0.02452016549409227,0.14963090443092136,True
28,177.2341138485931,106.90072574346209,107.90072574346209,71.90072574346209,70.90072574346209,0.004043712148806183,133.3701263466575,-0.010126305520237126,-333.98684104099743,-0.057110569724124094,0.17731053234371202,True
29,177.46555498005225,107.93129071265412,109.93129071265412,71.93129071265412,72.93129071265412,0.007973956420062555,262.99784358796535,-0.0019779100116245904,-65.23562965048583,-0.01116085690271909,0.17721847245821398,True
30,177.69704476751525,131.96184443263724,132.96184443263724,92.96184443263724,92.96184443263724,0.003278653912843581,108.13689761077752,-0.003278653912843581,-108.13689761077752,-0.02132000615506447,0.15378297215288333,True
31,177.92858318661078,144.992386894809,144.992386894809,107.99238689480899,109.99238689480899,0.0,0.0,0.007969486331298998,262.850410664642,0.06428699589127919,0.1239673159526201,True
32,178.16017021296744,139.0229180905792,140.0229180905792,103.0229180905792,105.0229180905792,0.003112724038462727,102.66418157746816,0.005237510103056691,172.7440921809409,0.04106762428105996,0.1275337980890262,True
33,178.39180582221388,118.05343801137042,121.05343801137042,83.05343801137042,86.05343801137042,0.010898488912050194,359.45507239354407,0.004512122199170302,148.81927438197215,0.02998785961607508,0.15046496338643542,True
34,178.62348998997876,109.08394664861703,111.08394664861703,73.08394664861703,75.08394664861703,0.007890458899997087,260.24391986862946,0.0038346416323908616,126.47454125959723,0.02229163780747714,0.17202152957575115,True
35,178.85522269189076,108.1144439937666,110.1144439937666,71.1144439937666,72.1144439937666,0.007960571041552194,262.556365669303,-0.001896130481906468,-62.538368863934494,-0.010368509678854719,0.18287396555875235,True
36,179.08700390357845,115.14493003827806,117.14493003827806,78.14493003827806,78.14493003827806,0.007478677094035576,246.66249036342705,-0.007478677094035576,-246.66249036342705,-0.04345962002129275,0.17208335209492048,True
37,179.31883360067053,115.17540477362331,117.17540477362331,77.17540477362331,78.17540477362331,0.007476715216085619,246.59778350486897,-0.001885492592575891,-62.1875089135051,-0.010785116167313188,0.1748235775420126,True
38,179.55071175879564,134.20586819128675,136.20586819128675,96.20586819128675,96.20586819128675,0.0064243128941486255,211.88734283077437,-0.0064243128941486255,-211.88734283077437,-0.04347152279673381,0.1477820991960123,True
39,179.7826383535824,128.2363202827646,130.2363202827646,91.23632028276461,92.23632028276461,0.006721069568758411,221.67500172697095,-0.0019868619925671183,-65.53088479858295,-0.013349273130997699,0.14883671740549848,True
