Index,Wavelength,Intensity,Weak signal flag
1,171.0036843215852,-17.65122123579681,True
2,171.23380252856805,41.378998757077625,True
3,171.46397004958132,16.409211410004218,True
4,171.69418686025367,12.439416713765922,True
5,171.92445293621375,-7.530385340846806,True
6,172.15476825309023,-13.500194763035552,True
7,172.3851327865117,14.529988438005603,True
8,172.61554651210685,-3.439835746909921,True
9,172.8460094055043,30.590332673039256,True
10,173.07652144233273,-54.379506311318664,True
11,173.30708259822075,-26.349352709146615,True
12,173.537692848797,19.680793470399294,True
13,173.76835216969016,44.710932218170456,True
14,173.99906053652884,-11.258936474973325,True
15,174.22981792494173,-5.228812618165421,True
16,174.46062431055742,-66.19869622053079,True
17,174.6914796690046,-8.16858729118735,True
18,174.92238397591188,-10.138485839245277,True
19,175.15333720690793,2.891608126193205,True
20,175.38433933762138,25.921694596033603,True
21,175.6153903436809,51.95177356118825,True
22,175.8464902007151,12.981845012578333,True
23,176.07763888435264,-0.9880910588681218,True
24,176.3088363702222,-14.958034662215141,True
25,176.54008263395235,-30.927985806519246,True
26,176.7713776511718,31.102055499170774,True
27,177.00272139750916,-1.867910754185914,True
28,177.2341138485931,1.1621154243771343,True
29,177.46555498005225,31.19213402583432,True
30,177.69704476751525,-9.777854958832677,True
31,177.92858318661078,64.25214846136623,True
32,178.16017021296744,56.28214427742796,True
33,178.39180582221388,59.312132480357604,True
34,178.62348998997876,65.34211306116799,True
35,178.85522269189076,61.37208601087946,True
36,179.08700390357845,31.40205132051983,True
37,179.31883360067053,15.432008981125136,True
38,179.55071175879564,-2.5380410162611042,True
39,179.7826383535824,-21.50809868058809,True
40,180.01461336065947,-22.478164020796612,True
41,180.2466367556555,21.551762954179367,True
42,180.47870851419913,51.58168223541452,True
43,180.710828611919,-5.388406186009206,True
44,180.94299702444374,6.641497680997418,True
45,181.17521372740205,-0.3286061724677438,True
46,181.40747869642252,30.701282244699996,True
47,181.63979190713383,-30.26883707638649,True
48,181.8721533351646,-43.2389641446066,True
49,182.10456295614347,5.79090103116755,True
50,182.33702074569914,19.820758442072247,True
51,182.56952667946018,20.850608079250833,True
52,182.80208073305528,46.88044993385461,True
53,183.0346828821131,18.910283997042825,True
54,183.26733310226223,19.940110259982248,True
55,183.50003136913136,-18.030071286152634,True
56,183.7327776583491,-8.000260650179598,True
57,183.96557194554416,20.029542159091307,True
58,184.1984142063451,70.05933713285776,True
59,184.4313044163806,-15.910875737674814,True
60,184.66424255127936,-22.881096461293282,True
61,184.89722858666994,8.148674953223235,True
62,185.13026249818105,40.17843849710334,True
63,185.36334426144128,-15.791805838416394,True
64,185.59647385207933,-15.76205806209191,True
65,185.8296512457238,37.267681817328366,True
66,186.06287641800333,6.297413791104418,True
67,186.29614934454662,-21.672862149496723,True
68,186.52947000098226,31.35685398680016,True
69,186.76283836293894,14.38656219127779,True
70,186.99625440604527,-0.58373754477293,True
71,187.22971810592992,-26.554045230054044,True
72,187.4632294382215,-35.524360873259184,True
73,187.6967883785487,27.505315516925293,True
74,187.93039490254014,-20.465016068178784,True
75,188.16404898582445,-25.43535563724231,True
76,188.3977506040303,-21.405703198927768,True
77,188.63149973278635,-9.37605876189059,True
78,188.86529634772123,12.653577665221746,True
79,189.09914042446354,-24.31679392622982,True
80,189.333031938642,2.712826455122695,True
81,189.5669708658852,-36.25756119934499,True
82,189.8009571818218,-32.227956898248976,True
83,190.03499086208046,-58.19836065019763,True
84,190.2690718822898,-31.16877246379204,True
85,190.5032002180785,21.860807652375343,True
86,190.73737584507518,26.89037968971911,True
87,190.97159873890848,41.91994363966205,True
88,191.20586887520705,60.94949949363422,True
89,191.44018622959956,2.979047243074092,True
90,191.67455077771461,20.00858687942764,True
91,191.9089624951809,-42.96188160585166,True
92,192.14342135762703,11.06764177869809,True
93,192.37792734068165,42.09715702454582,True
94,192.61248041997345,28.12666412316912,True
95,192.84708057113102,49.15616306605261,True
