Index	Intensity	Intensity
135	195.5166327839887	1924
136	195.776800751944	1934
137	196.03697937456542	1933
138	196.2971686657393	1933
139	196.55736863935186	1935
140	196.81757930928939	1943
141	197.07780068943813	1944
142	197.33803279368433	1941
143	197.59827563591426	1948
144	197.85852923001414	1949
145	198.11879358987028	1947
146	198.3790687293689	1958
147	198.63935466239627	1949
148	198.89965140283863	1945
149	199.15995896458227	1947
150	199.4202773615134	1940
151	199.6806066075183	1938
152	199.94094671648327	1947
153	200.20129770229448	1956
154	200.46165957883827	1959
155	200.72203236000084	1959
156	200.98241605966845	1969
157	201.24281069172736	1961
158	201.50321627006386	1961
159	201.76363280856418	1961
160	202.02406032111458	1957
161	202.2844988216013	1955
162	202.5449483239106	1961
163	202.8054088419288	1956
164	203.06588038954206	1970
165	203.32636298063667	1965
166	203.58685662909892	1964
167	203.84736134881504	1966
168	204.10787715367127	1971
169	204.3684040575539	1971
170	204.6289420743492	1979
171	204.88949121794337	1969
172	205.15005150222268	1982
173	205.41062294107343	1972
174	205.6712055483818	1971
175	205.93179933803412	1972
176	206.19240432391663	1978
177	206.45302051991558	1970
178	206.71364793991722	1979
179	206.9742865978078	1978
180	207.23493650747355	1986
181	207.49559768280082	1975
182	207.75627013767576	1981
183	208.01695388598472	1982
184	208.27764894161385	1987
185	208.53835531844953	1985
186	208.7990730303779	1993
187	209.0598020912853	1990
188	209.32054251505795	1999
189	209.5812943155821	1993
190	209.84205750674403	1993
191	210.10283210242997	1993
192	210.3636181165262	2003
193	210.62441556291895	1992
194	210.88522445549452	1988
195	211.14604480813912	1988
196	211.40687663473904	2001
197	211.6677199491805	1998
198	211.92857476534982	2004
199	212.18944109713317	1994
200	212.45031895841686	2000
201	212.71120836308717	1998
202	212.9721093250303	2006
203	213.23302185813253	2002
204	213.4939459762801	2009
205	213.7548816933593	2004
206	214.01582902325634	2005
207	214.27678797985754	1998
208	214.53775857704912	2008
209	214.7987408287173	2006
210	215.0597347487484	2007
211	215.32074035102866	2006
212	215.5817576494443	2019
213	215.84278665788165	2016
214	216.10382739022688	2027
215	216.3648798603663	2014
216	216.62594408218615	2020
217	216.88702006957266	2026
218	217.14810783641215	2028
219	217.40920739659083	2017
220	217.67031876399497	2026
221	217.93144195251082	2024
222	218.19257697602464	2025
223	218.45372384842267	2031
224	218.7148825835912	2030
225	218.97605319541645	2029
226	219.23723569778474	2028
227	219.49843010458224	2025
228	219.75963642969526	2028
229	220.02085468701003	2034
230	220.28208489041285	2031
231	220.5433270537899	2027
232	220.80458119102752	2027
233	221.06584731601194	2029
234	221.32712544262938	2032
235	221.58841558476612	2034
236	221.84971775630842	2049
237	222.11103197114255	2037
238	222.37235824315474	2047
239	222.63369658623122	2043
240	222.89504701425835	2042
241	223.1564095411223	2046
242	223.4177841807093	2054
243	223.67917094690569	2047
244	223.94056985359768	2045
245	224.20198091467157	2045
246	224.46340414401354	2049
247	224.7248395555099	2049
248	224.98628716304688	2048
249	225.24774698051075	2053
250	225.50921902178777	2045
251	225.7707033007642	2050
252	226.0321998313263	2057
253	226.2937086273603	2050
254	226.55522970275246	2050
255	226.8167630713891	2044
