Wavelength (nm),g-factor,CD,Extinction
534,0.00714113,74.3988,0.315899
533.5,0.00703614,73.0399,0.314757
533,0.00693096,71.6727,0.313552
532.5,0.00681378,70.2792,0.312743
532,0.00670662,68.9247,0.311616
531.5,0.00659197,67.5769,0.310837
531,0.00648131,66.2617,0.309991
530.5,0.0063661,64.9732,0.309464
530,0.00624926,63.716,0.30915
529.5,0.00613373,62.4537,0.308733
529,0.00601469,61.1084,0.308061
528.5,0.00590895,59.9012,0.30738
528,0.00578893,58.6368,0.307129
527.5,0.00567331,57.4165,0.306867
527,0.00556339,56.2241,0.306431
526.5,0.00544639,54.9298,0.305808
526,0.00534608,53.7475,0.30484
525.5,0.0052384,52.6059,0.304498
525,0.00512399,51.3806,0.304046
524.5,0.00501733,50.2549,0.303707
524,0.00490884,49.117,0.303391
523.5,0.00478933,47.8919,0.303206
523,0.00468825,46.7429,0.302311
522.5,0.00457565,45.5402,0.301781
522,0.00446779,44.3316,0.300864
521.5,0.00436291,43.2126,0.300319
521,0.00425312,42.0182,0.299557
520.5,0.00414969,40.8801,0.298707
520,0.0040423,39.7574,0.298221
519.5,0.00394223,38.6487,0.297264
519,0.00383961,37.5504,0.296536
518.5,0.00372484,36.3293,0.295732
518,0.00362227,35.2557,0.295119
517.5,0.00352582,34.236,0.294424
517,0.0034245,33.1966,0.293931
516.5,0.00331217,32.0636,0.293528
516,0.0032193,31.0237,0.292201
515.5,0.00312527,30.0224,0.291278
515,0.00303216,29.0241,0.29024
514.5,0.00292578,28.0234,0.290421
514,0.00283332,27.061,0.289599
513.5,0.00274432,26.1294,0.288698
513,0.00264709,25.2001,0.288658
512.5,0.00255524,24.2849,0.288173
512,0.00246465,23.3573,0.287355
511.5,0.00237455,22.4548,0.286733
511,0.00228563,21.5704,0.286155
510.5,0.00219848,20.7119,0.285658
510,0.00210911,19.8353,0.285161
509.5,0.00201835,18.9404,0.284539
509,0.0019215,18.026,0.284451
508.5,0.0018446,17.2715,0.283908
508,0.00175767,16.4224,0.283301
507.5,0.00167308,15.6177,0.28304
507,0.00158123,14.7378,0.282609
506.5,0.00150024,13.9292,0.281523
506,0.00141505,13.08,0.280276
505.5,0.00133068,12.2777,0.279763
505,0.00124696,11.4718,0.278952
504.5,0.00116198,10.6592,0.27815
504,0.00108716,9.94592,0.277397
503.5,0.00100894,9.21649,0.276981
503,0.000929394,8.47457,0.276482
502.5,0.000854884,7.7773,0.275849
502,0.000779516,7.07062,0.275031
501.5,0.000705806,6.39779,0.274849
501,0.000635846,5.75618,0.274493
500.5,0.00056643,5.10768,0.273418
500,0.000490067,4.40869,0.272774
499.5,0.000419271,3.7643,0.272232
499,0.000348315,3.12297,0.27186
498.5,0.000282867,2.53802,0.272058
498,0.000214017,1.92059,0.272104
497.5,0.000151088,1.35719,0.272371
497,8.07E-05,0.725224,0.272385
496.5,1.06E-05,0.0956461,0.272817
496,-5.71E-05,-0.513343,0.272744
495.5,-0.00012712,-1.1429,0.272613
495,-0.000193946,-1.74331,0.272547
494.5,-0.00026002,-2.33633,0.272443
494,-0.000330457,-2.97146,0.272649
493.5,-0.000390546,-3.51084,0.272576
493,-0.000456878,-4.10332,0.272323
492.5,-0.000527398,-4.73154,0.272028
492,-0.000580669,-5.20668,0.271883
491.5,-0.000639256,-5.7318,0.271873
491,-0.000704835,-6.31047,0.271471
490.5,-0.000763049,-6.8271,0.27129
490,-0.000818671,-7.3178,0.271032
489.5,-0.000870851,-7.78294,0.270988
489,-0.000924428,-8.27284,0.271351
488.5,-0.000976124,-8.70211,0.270314
488,-0.00102805,-9.16245,0.270238
487.5,-0.00106811,-9.52446,0.27038
487,-0.00111801,-9.96573,0.27028
486.5,-0.0011624,-10.3759,0.270658
486,-0.00120902,-10.7672,0.270034
485.5,-0.00125398,-11.1699,0.270089
485,-0.00129627,-11.5472,0.270104
484.5,-0.00134052,-11.9587,0.270497
484,-0.00137821,-12.312,0.270873
483.5,-0.00142727,-12.7732,0.271358
483,-0.00147488,-13.2172,0.271726
482.5,-0.00151083,-13.5623,0.272187
482,-0.00155492,-13.9431,0.271895
481.5,-0.00159991,-14.354,0.272038
481,-0.00164963,-14.7801,0.271669
480.5,-0.00169032,-15.1314,0.27143
480,-0.00172901,-15.4993,0.27181
479.5,-0.00177502,-15.8901,0.271439
479,-0.00181913,-16.2428,0.270737
478.5,-0.00185373,-16.5506,0.270718
478,-0.00188811,-16.8488,0.270576
477.5,-0.00191937,-17.1249,0.270532
477,-0.00195415,-17.4234,0.270349
476.5,-0.0019911,-17.6923,0.269426
476,-0.00202799,-17.9866,0.268926
475.5,-0.00206038,-18.2705,0.268876
475,-0.00209189,-18.524,0.268501
474.5,-0.00211512,-18.7255,0.268441
474,-0.00214203,-18.9771,0.26863
473.5,-0.00216623,-19.1684,0.268306
473,-0.00218577,-19.3725,0.268738
472.5,-0.00220853,-19.5754,0.268755
472,-0.00222715,-19.7599,0.26902
471.5,-0.00225482,-20.0072,0.269044
471,-0.00227746,-20.2118,0.269093
470.5,-0.00230089,-20.4533,0.269536
470,-0.00232495,-20.6731,0.269614
469.5,-0.00234755,-20.8944,0.269876
469,-0.00237241,-21.1426,0.27022
468.5,-0.00238486,-21.3214,0.271084
468,-0.00239692,-21.4937,0.271899
467.5,-0.00241244,-21.6741,0.272417
467,-0.00242721,-21.8349,0.272768
466.5,-0.00243997,-22.0056,0.273464
466,-0.00246649,-22.2495,0.273521
465.5,-0.00249348,-22.479,0.273351
465,-0.00251253,-22.6955,0.273891
464.5,-0.00253395,-22.8762,0.273738
464,-0.00254706,-23.0441,0.274328
463.5,-0.00256803,-23.2617,0.274657
463,-0.00258323,-23.4155,0.274846
462.5,-0.00259261,-23.5509,0.275435
462,-0.00260585,-23.7125,0.275916
461.5,-0.00261583,-23.8627,0.276605
461,-0.00262299,-23.9508,0.276868
460.5,-0.00264315,-24.1323,0.276838
460,-0.00265958,-24.3122,0.277179
459.5,-0.002677,-24.4473,0.276905
459,-0.0026957,-24.6063,0.276773
458.5,-0.00271532,-24.7911,0.276837
458,-0.00273138,-24.9276,0.276724
457.5,-0.00273737,-25.024,0.277187
457,-0.00274889,-25.1259,0.27715
456.5,-0.00276568,-25.312,0.277507
456,-0.00277706,-25.4176,0.277522
455.5,-0.00278755,-25.5163,0.277552
455,-0.00279293,-25.5936,0.277857
454.5,-0.00279358,-25.6807,0.278737
454,-0.00280181,-25.7835,0.279031
453.5,-0.00281006,-25.8783,0.279234
453,-0.00282937,-26.0177,0.278823
452.5,-0.00284769,-26.1946,0.278913
452,-0.00285738,-26.3246,0.279347
451.5,-0.00287379,-26.4777,0.279366
451,-0.002885,-26.5824,0.279382
450.5,-0.00288859,-26.6234,0.279464
450,-0.00289553,-26.7097,0.279699
449.5,-0.00289779,-26.7742,0.280156
449,-0.00290087,-26.8514,0.280665
448.5,-0.00291488,-26.9619,0.280465
448,-0.00291163,-26.9932,0.281105
447.5,-0.00291604,-27.1047,0.281839
447,-0.0029254,-27.1731,0.281645
446.5,-0.00293818,-27.2358,0.281068
446,-0.00295381,-27.3501,0.280754
445.5,-0.00296308,-27.4265,0.280657
445,-0.00297145,-27.5204,0.280824
444.5,-0.00296864,-27.5395,0.281286
444,-0.00296761,-27.5641,0.281635
443.5,-0.00297973,-27.6559,0.281424
443,-0.00298207,-27.705,0.281701
442.5,-0.00298116,-27.7623,0.282372
442,-0.00298353,-27.8166,0.282698
441.5,-0.00299248,-27.9085,0.282783
441,-0.00299902,-27.9515,0.282602
440.5,-0.00300586,-28.0166,0.282616
440,-0.00300321,-28.0455,0.283157
439.5,-0.00301018,-28.0984,0.283034
439,-0.00301877,-28.1298,0.282543
438.5,-0.00302129,-28.2122,0.283136
438,-0.00302455,-28.2297,0.283005
437.5,-0.00302713,-28.26,0.283068
437,-0.00302589,-28.2298,0.282881
436.5,-0.00303449,-28.2891,0.282672
436,-0.00304163,-28.324,0.282357
435.5,-0.00304495,-28.3142,0.281951
435,-0.00304026,-28.3268,0.282511
434.5,-0.00304147,-28.3015,0.282148
434,-0.00304311,-28.3267,0.282246
433.5,-0.00304449,-28.3221,0.282072
433,-0.00304084,-28.2958,0.282149
432.5,-0.00303919,-28.279,0.282135
432,-0.00304209,-28.3123,0.282196
431.5,-0.0030432,-28.315,0.282121
431,-0.00304129,-28.28,0.281949
430.5,-0.00303622,-28.2597,0.282217
430,-0.00304136,-28.2622,0.281765
429.5,-0.00304139,-28.2833,0.281973
429,-0.00304188,-28.2899,0.281993
428.5,-0.00304198,-28.2801,0.281886
428,-0.00303929,-28.2702,0.282037
427.5,-0.00303676,-28.2605,0.282175
427,-0.0030377,-28.2846,0.282329
426.5,-0.00304091,-28.274,0.281925
426,-0.0030425,-28.3213,0.282249
425.5,-0.0030453,-28.3551,0.282325
425,-0.00303877,-28.3088,0.28247
424.5,-0.00303905,-28.3023,0.282379
424,-0.00303603,-28.2886,0.282523
423.5,-0.00303619,-28.2678,0.282301
423,-0.00304259,-28.2939,0.281968
422.5,-0.00304871,-28.3167,0.281628
422,-0.00304912,-28.31,0.281523
421.5,-0.0030397,-28.2512,0.28181
421,-0.00302954,-28.2102,0.282345
420.5,-0.0030243,-28.1842,0.282572
420,-0.00302391,-28.2113,0.282881
419.5,-0.00302629,-28.1726,0.282271
419,-0.00302361,-28.1859,0.282654
418.5,-0.00301118,-28.1195,0.283153
418,-0.00300489,-28.0795,0.283341
417.5,-0.00300462,-28.052,0.28309
417,-0.00300178,-28.0007,0.282839
416.5,-0.00300074,-28.0127,0.283058
416,-0.0029994,-27.955,0.282601
415.5,-0.00299609,-27.9228,0.282587
415,-0.00299317,-27.8743,0.282372
414.5,-0.00298259,-27.8027,0.282646
414,-0.0029729,-27.7511,0.283041
413.5,-0.00297095,-27.7738,0.283458
413,-0.00297586,-27.7674,0.282926
412.5,-0.00297278,-27.7273,0.282809
412,-0.00297243,-27.7072,0.282638
411.5,-0.00296444,-27.6461,0.282775
411,-0.00296156,-27.5919,0.282495
410.5,-0.00296631,-27.587,0.281993
410,-0.00296699,-27.5338,0.281384
409.5,-0.00296963,-27.4877,0.280663
409,-0.00297253,-27.494,0.280453
408.5,-0.00297065,-27.4255,0.279932
408,-0.00296471,-27.4008,0.280241
407.5,-0.00296648,-27.4039,0.280105
407,-0.00295978,-27.3693,0.280385
406.5,-0.00295415,-27.3489,0.280709
406,-0.00294718,-27.303,0.2809
405.5,-0.00294668,-27.2664,0.280572
405,-0.00293181,-27.1382,0.280669
404.5,-0.00293126,-27.1131,0.280462
404,-0.00293042,-27.0627,0.280021
403.5,-0.00292204,-27.0196,0.280377
403,-0.00291794,-26.9956,0.280521
402.5,-0.00291787,-26.9512,0.280067
402,-0.002906,-26.8811,0.280479
401.5,-0.00290676,-26.8705,0.280295
401,-0.00289224,-26.8181,0.281153
400.5,-0.00287999,-26.7279,0.2814
400,-0.00287879,-26.7248,0.281484
