Wavelength (nm),g-factor,CD,Extinction
811,0.0418978,501.434,0.362888
810.5,0.0417241,499.016,0.362641
810,0.041583,496.54,0.362066
809.5,0.0414139,493.865,0.361586
809,0.0412952,491.579,0.360947
808.5,0.0411793,489.329,0.360306
808,0.0410728,487.154,0.359635
807.5,0.0409228,484.655,0.359101
807,0.0407144,481.782,0.3588
806.5,0.0405369,479.34,0.358544
806,0.0404025,477.049,0.358018
805.5,0.0402549,474.482,0.357396
805,0.0401368,472.081,0.356634
804.5,0.0400155,469.552,0.355799
804,0.0398865,466.955,0.354976
803.5,0.039783,464.233,0.353824
803,0.039659,461.556,0.352884
802.5,0.0395054,458.789,0.352132
802,0.0394278,456.179,0.350818
801.5,0.0393068,453.325,0.349697
801,0.039166,450.561,0.348814
800.5,0.0390616,447.58,0.347432
800,0.0389065,444.761,0.34662
799.5,0.0387749,441.71,0.345411
799,0.0386123,438.482,0.34433
798.5,0.0384682,435.355,0.343156
798,0.0383957,432.463,0.341519
797.5,0.0383002,429.421,0.339963
797,0.0381472,425.794,0.338444
796.5,0.0379696,422.403,0.337319
796,0.0378799,419.289,0.335625
795.5,0.0377264,415.925,0.334286
795,0.0375957,412.911,0.333018
794.5,0.0374626,409.913,0.331775
794,0.0372642,406.569,0.33082
793.5,0.037133,403.163,0.329208
793,0.0370477,400.21,0.327548
792.5,0.0369204,396.687,0.325784
792,0.0368336,393.536,0.323958
791.5,0.0366942,390.017,0.322281
791,0.0365437,386.571,0.320749
790.5,0.0364098,383.589,0.319446
790,0.0362437,380.259,0.318124
789.5,0.0360567,377.118,0.317132
789,0.0358633,374.12,0.316307
788.5,0.0356431,371.05,0.315651
788,0.0353561,367.837,0.315457
787.5,0.035093,364.812,0.315208
787,0.0347923,361.861,0.315361
786.5,0.0344933,359.008,0.315587
786,0.034206,356.274,0.315814
785.5,0.0339152,353.673,0.316197
785,0.033589,351.066,0.316914
784.5,0.0332308,348.27,0.317779
784,0.0328387,345.66,0.319164
783.5,0.0324604,343.057,0.320452
783,0.0320966,340.359,0.321535
782.5,0.0317484,337.844,0.322659
782,0.0313793,335.218,0.323917
781.5,0.0310266,332.533,0.324975
781,0.0306857,329.826,0.32591
780.5,0.0303251,326.882,0.326842
780,0.0300263,323.994,0.327178
779.5,0.0297292,321.133,0.327529
779,0.0294119,317.976,0.327809
778.5,0.0291241,314.612,0.327546
778,0.028823,310.797,0.326954
777.5,0.0285471,306.991,0.326071
777,0.0282631,303.15,0.325227
776.5,0.0280224,299.312,0.323867
