Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Reference ellipticity,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
1,171.0036843215852,97.34012140318373,98.34012140318373,63.34012140318373,65.34012140318373,0.004438856538675795,146.40281889813937,0.009062189085615211,298.89004430807995,0.04976985195252806,0.18208189757644833,True
2,171.23380252856805,103.3791012286822,105.3791012286822,62.3791012286822,63.3791012286822,0.008321738064392003,274.46841323742973,-0.0014147749028307751,-46.66225008086363,-0.006427843273849281,0.22010102651173455,True
3,171.46397004958132,106.4180634182676,108.4180634182676,61.41806341826759,64.4180634182676,0.008086294145057678,266.7029778865377,0.012625251943050517,416.40734672475253,0.054323980327345575,0.23240660693441906,True
4,171.69418686025367,113.45700796047004,117.45700796047004,66.45700796047004,70.45700796047004,0.01504760730115907,496.3017181039863,0.010335804613314773,340.89656148722764,0.04550759287533709,0.2271226395478342,True
5,171.92445293621375,105.49593484383968,110.49593484383968,60.49593484383968,63.49593484383968,0.02011057562675655,663.2890555863077,0.0009091537521691666,29.98580174188146,0.003771562169816917,0.2410549558071582,True
6,172.15476825309023,115.53484405694621,118.53484405694621,69.53484405694621,73.53484405694621,0.011133050193670216,367.1913964973584,0.013157640553585611,433.9666421542133,0.06150393773269186,0.2139316772004305,True
7,172.3851327865117,105.57373558837844,109.57373558837844,60.57373558837844,62.57373558837844,0.01615057910297229,532.6800465188954,-0.0020428538862712516,-67.3776151450823,-0.008431338249075332,0.24229295823771418,True
8,172.61554651210685,110.61260942674517,115.61260942674517,65.61260942674517,66.61260942674517,0.01920056576287421,633.2750174806222,-0.012631429163487733,-416.61108443897785,-0.054181205038735275,0.23313304225067089,True
9,172.8460094055043,104.65146556067361,106.65146556067361,56.651465560673614,59.651465560673614,0.008221513056355845,271.16278180448427,0.014188455699060501,467.96509237343133,0.05468878786663999,0.2594399373717957,True
10,173.07652144233273,110.6903039788117,112.6903039788117,63.6903039788117,65.6903039788117,0.0077769702765880504,256.50082652123575,0.005650979597414377,186.38118519688504,0.023822609866674917,0.23721076863704366,True
11,173.30708259822075,114.7291246698262,116.7291246698262,66.7291246698262,68.7291246698262,0.0075055487101024,247.5487727440929,0.005319836125215146,175.45937743687398,0.02286151357971335,0.23269833410924357,True
12,173.537692848797,115.76792762240302,117.76792762240302,67.76792762240302,71.76792762240302,0.0074387737893145366,245.34639549899285,0.01746742699716314,576.1124580171803,0.07803869194140488,0.2238303405992313,True
13,173.76835216969016,112.80671282524827,114.80671282524827,64.80671282524827,66.80671282524827,0.007632338175703507,251.73055582468064,0.0055677715648730945,183.63680938458495,0.023400776045864616,0.23793106493393543,True
14,173.99906053652884,113.84548026708717,117.84548026708717,65.84548026708717,68.84548026708717,0.014997137118726184,494.63710540157126,0.004352327112474621,143.54889654153396,0.01847230380027072,0.23561366029562786,True
15,174.22981792494173,112.8842299366645,115.8842299366645,63.8842299366645,65.8842299366645,0.01139106447920387,375.701249967276,0.0019967455779785967,65.85686622025162,0.00810890002095161,0.2462412377535111,True
16,174.46062431055742,121.92296182274413,124.92296182274413,71.92296182274413,73.92296182274413,0.010556768197253137,348.18440493982615,0.0013550274024728692,44.691651932826915,0.005929049053825515,0.22854042700128857,True
17,174.6914796690046,106.96167591411017,109.96167591411017,56.961675914110174,59.961675914110174,0.012013151267702688,396.21897984702724,0.010277852967144308,338.9851943850878,0.03827785335684547,0.2685065139711199,True
18,174.92238397591188,117.00037219956562,121.00037219956562,68.00037219956562,71.00037219956562,0.014599462898546712,481.5209737288945,0.004149872673104548,136.87152358208647,0.01776478854215907,0.23360101716134402,True
19,175.15333720690793,110.039050667933,115.039050667933,63.039050667933,65.039050667933,0.019298454167004663,636.5035828053338,-0.0057339249485582,-189.11689722455384,-0.023422500571654216,0.2448041331461153,True
