Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Reference ellipticity,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
1,171.0036843215852,136.34012140318373,138.34012140318373,137.34012140318373,138.34012140318373,0.006324476089437855,208.59451515948402,-0.0031737505800018217,-104.67696519214051,1.999999999999969,-0.0015868752900009356,True
2,171.23380252856805,141.3791012286822,144.3791012286822,143.3791012286822,143.3791012286822,0.009119117519087633,300.767663704697,-0.009119117519087633,-300.767663704697,5.91736089847953,-0.0015410784766281193,True
3,171.46397004958132,143.4180634182676,149.4180634182676,146.4180634182676,145.4180634182676,0.017799249389950877,587.0566580052572,-0.020775551099904,-685.2213444356233,-14.87185520475068,0.0013969710445585455,True
4,171.69418686025367,152.45700796047004,156.45700796047004,152.45700796047004,154.45700796047004,0.011247628377785488,370.97042584704536,-0.005587402947803065,-184.28429365779232,-2.000000000000008,0.0027937014739015213,True
5,171.92445293621375,144.49593484383968,148.49593484383968,144.49593484383968,147.49593484383968,0.011858935669308195,391.13262525856544,-0.0029345139427534635,-96.78643803234183,-2.00000000000002,0.0014672569713767172,True
6,172.15476825309023,155.5348440569462,156.5348440569462,152.5348440569462,157.5348440569462,0.002783326833310993,91.79996937524884,0.011224238157569497,370.1989672192586,3.9431486349583724,0.0028465166283765993,True
7,172.3851327865117,146.57373558837844,146.57373558837844,143.57373558837844,147.57373558837844,0.0,0.0,0.011934070608080171,393.61073346911775,3.9593868590258285,0.0030141208810842094,True
8,172.61554651210685,151.61260942674517,153.61260942674517,150.61260942674517,152.61260942674517,0.0056915440903964765,187.71908743995343,3.7541129641561685e-05,1.2381853651402253,0.013148248619619343,0.002855219027844071,True
9,172.8460094055043,142.6514655606736,146.6514655606736,142.6514655606736,144.6514655606736,0.012010169623676747,396.12063895978633,-0.005963569324005283,-196.6910514276959,-2.00000000000003,0.0029817846620025963,True
10,173.07652144233273,148.6903039788117,153.6903039788117,148.6903039788117,150.6903039788117,0.014363820256201698,473.74898407540417,-0.008561160615931067,-282.36507224131833,-1.9999999999999858,0.004280580307965564,True
11,173.30708259822075,152.7291246698262,156.7291246698262,151.7291246698262,154.7291246698262,0.011227845360920806,370.31794036794435,-0.0027247290689223196,-89.86729193616446,-0.6463941618978677,0.004215274873340882,True
12,173.537692848797,153.76792762240302,157.76792762240302,154.76792762240302,157.76792762240302,0.011152959564836288,367.84804940690975,-0.0028152060466169575,-92.85141283857843,2.0000000000000417,-0.0014076030233084495,True
13,173.76835216969016,151.80671282524827,155.80671282524827,150.80671282524827,153.80671282524827,0.011295188726518779,372.53906611772413,-0.002740571875372832,-90.38982099368263,-0.6462715733376011,0.004240588613884777,True
14,173.99906053652884,154.84548026708717,155.84548026708717,151.84548026708717,153.84548026708717,0.002795678257718338,92.20734531427436,0.002887194117260153,95.22573072368542,0.4093530077976933,0.00705306682072075,True
