Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Delta absorbance,Ellipticity,g-factor,Weak signal flag
1,171.0036843215852,98.51272083618392,100.51272083618392,60.51272083618392,60.01272083618392,0.008728715238455307,-0.012332078705247999,-406.7378771066632,-0.05661807993912892,True
2,171.23380252856805,99.55044112953874,100.55044112953874,54.05044112953874,54.05044112953874,0.004340791430069932,-0.004340791430069932,-143.16842548840472,-0.016232455602268697,True
3,171.46397004958132,104.58814594517025,106.58814594517025,56.588145945170254,56.588145945170254,0.00822644366824652,-0.00822644366824652,-271.3254037485363,-0.030370424750632143,True
4,171.69418686025367,112.62583527172478,115.62583527172478,63.12583527172478,64.12583527172478,0.011416858191275258,-0.004590960812483003,-151.41953756381466,-0.018094141558759918,True
5,171.92445293621375,103.6635090978657,106.6635090978657,53.6635090978657,54.1635090978657,0.012389961345007859,-0.008362236179399598,-275.80412619537583,-0.02882257985630744,True
6,172.15476825309023,117.70116741227343,116.70116741227343,65.20116741227343,66.20116741227343,-0.003705569886970172,0.010315846133325299,340.23828886545635,0.04103890572826587,True
7,172.3851327865117,103.73881020364456,104.73881020364456,51.73881020364456,53.23881020364456,0.004166373463656787,0.008245530338685733,271.95492225884027,0.027669373608850672,True
8,172.61554651210685,110.77643746069248,111.77643746069248,59.77643746069248,60.27643746069248,0.003902869418114875,-0.00028532178938316935,-9.410512345870643,-0.001064395139304847,True
9,172.8460094055043,97.81404917214786,101.81404917214786,49.31404917214786,49.31404917214786,0.017406472190928807,-0.017406472190928807,-574.102040383643,-0.05685903233231223,True
10,173.07652144233273,106.85164532675753,108.85164532675753,56.851645326757534,57.351645326757534,0.008053784003906193,-0.004250940370064129,-140.20494866701597,-0.015392831134486848,True
11,173.30708259822075,113.88922591328537,115.88922591328537,61.88922591328537,62.88922591328537,0.007560420855285026,-0.0005992224467040045,-19.763615827664836,-0.0022597909660390927,True
12,173.537692848797,114.92679092051185,117.92679092051185,63.42679092051185,64.42679092051185,0.01119120032645541,-0.004397439338809181,-145.03679258967276,-0.01689066872422321,True
13,173.76835216969016,112.96434033723449,113.96434033723449,59.96434033723449,61.46434033723449,0.0038276104351101558,0.006902554099789455,227.66074303170763,0.025414688888719242,True
14,173.99906053652884,113.00187415226719,115.00187415226719,60.50187415226719,61.00187415226719,0.007619271603457655,-0.004044921515973484,-133.41001381786393,-0.01479817144186764,True
15,174.22981792494173,112.0393923544409,114.0393923544409,58.039392354440906,59.039392354440906,0.0076841497941288715,-0.00026512773160190795,-8.744469873353552,-0.0009277322154971633,True
16,174.46062431055742,125.07689493260318,126.07689493260318,70.07689493260318,69.57689493260318,0.0034584130875580103,-0.006568220118167895,-216.63370556465816,-0.02576921083182926,True
17,174.6914796690046,103.11438187561816,104.11438187561816,48.614381875618164,48.614381875618164,0.004191482351403181,-0.004191482351403181,-138.24389823382091,-0.012753627262096492,True
18,174.92238397591188,117.15185317236728,117.15185317236728,64.65185317236728,64.15185317236728,0.0,-0.003371771478501127,-111.20811065459088,-0.012975634630945846,True
19,175.15333720690793,108.18930881174833,110.18930881174833,57.18930881174833,56.18930881174833,0.007955112631315668,-0.015616270495981934,-515.0574255706047,-0.054855979689352304,True
20,175.38433933762138,119.22674878267571,121.22674878267571,66.72674878267571,66.72674878267571,0.007224756586111988,-0.007224756586111988,-238.2876582840036,-0.02825635091291305,True
21,175.6153903436809,104.2641730740811,107.2641730740811,52.2641730740811,51.7641730740811,0.012319585865095935,-0.01649438862114773,-544.0196070985918,-0.05352224091742131,True
22,175.8464902007151,103.30158167491254,104.30158167491254,48.30158167491254,48.30158167491254,0.004183923152491651,-0.004183923152491651,-137.99457996466379,-0.012593166454012953,True
23,176.07763888435264,92.33897457413514,92.33897457413514,36.838974574135136,37.838974574135136,0.0,0.011631825674706067,383.6420602628308,0.029577832229886396,True
24,176.3088363702222,105.37635176073059,103.37635176073059,48.876351760730586,49.376351760730586,-0.008321957287922465,0.012742173886385964,420.2636781799847,0.03893435325289387,True
25,176.54008263395235,101.41371322369741,99.41371322369741,44.913713223697414,44.913713223697414,-0.008650389000750847,0.008650389000750847,285.30801192624017,0.024758368593148675,True
26,176.7713776511718,110.45105895205097,110.45105895205097,54.45105895205097,55.95105895205097,0.0,0.01180198033653136,389.25411866634795,0.039175064416489054,True
27,177.00272139750916,112.48838893482343,111.48838893482343,55.48838893482343,56.48838893482343,-0.0038780571075959997,0.011635130244882809,383.7510519332997,0.03864361788336663,True
28,177.2341138485931,104.52570316106335,103.52570316106335,47.02570316106335,48.02570316106335,-0.004174908827142181,0.013313342919830029,439.10203347147655,0.03913029060691574,True
29,177.46555498005225,106.56300161983677,106.56300161983677,49.06300161983677,49.06300161983677,0.0,0.0,0.0,0.0,True
30,177.69704476751525,124.6002843002259,126.6002843002259,69.1002843002259,69.6002843002259,0.0069156477037006486,-0.003784468303713608,-124.81971941801457,-0.014672381170104823,True
31,177.92858318661078,135.63755119132998,136.63755119132998,79.63755119132998,80.13755119132998,0.0031901296216292154,-0.0004719595617337872,-15.566218381180136,-0.0020387196217767183,True
32,178.16017021296744,130.67480228226532,130.67480228226532,74.17480228226532,75.17480228226532,0.0,0.005815897182944301,191.82051381611063,0.023931024456477993,True
33,178.39180582221388,113.71203756216482,113.71203756216482,58.212037562164824,59.212037562164824,0.0,0.007397205060720681,243.97537145459606,0.025765701522379583,True
34,178.62348998997876,106.74925702017777,108.74925702017777,49.749257020177765,50.749257020177765,0.008061437519677243,0.0005816517861147487,19.184098508788622,0.0017557314978212761,True
35,178.85522269189076,106.7864606454707,107.7864606454707,48.2864606454707,49.7864606454707,0.004048018953682871,0.00923786095025041,304.6840716571499,0.027164435684912835,True
36,179.08700390357845,113.82364842722723,113.82364842722723,55.323648427227226,55.823648427227226,0.0,0.003907404172742102,128.87440278357184,0.012549151914457511,True
37,179.31883360067053,113.86082035464688,114.86082035464688,53.860820354646876,55.360820354646876,0.003797605227376871,0.008131947916843041,268.2087352419452,0.02533037994857996,True
38,179.55071175879564,130.8979764169469,131.8979764169469,70.3979764169469,71.3979764169469,0.003305199896759122,0.0028205275797477626,93.0269281868266,0.01052582973141681,True
39,179.7826383535824,126.93511660336094,127.93511660336094,65.93511660336094,65.93511660336094,0.003407982996069312,-0.003407982996069312,-112.40244261877355,-0.011908987364548037,True
40,180.01461336065947,122.97224090313944,124.97224090313944,62.472240903139436,62.972240903139436,0.007006470130893947,-0.0035444064711458176,-116.90197558206205,-0.011978708464180464,True
41,180.2466367556555,113.00934930554968,116.00934930554968,51.50934930554968,52.50934930554968,0.011378616535326902,-0.0030280436488209477,-99.87124433317331,-0.008834752412982632,True
42,180.47870851419913,108.04644179987599,110.04644179987599,45.54644179987599,47.04644179987599,0.007965535592699921,0.006106792522923694,201.41485357596702,0.016411581697729116,True
43,180.710828611919,113.08351837541886,113.08351837541886,50.58351837541886,50.58351837541886,0.0,0.0,0.0,0.0,True
44,180.94299702444374,120.1205790214965,120.1205790214965,56.620579021496496,57.120579021496496,0.0,0.003818294862591205,125.93539043151874,0.011758224561372356,True
45,181.17521372740205,129.15762372744325,129.15762372744325,65.15762372744325,66.15762372744325,0.0,0.006614660305573205,218.16540056021745,0.02251052258918035,True
46,181.40747869642252,126.19465248261054,124.19465248261054,61.694652482610536,63.194652482610536,-0.006938055416995427,0.017370863100659027,572.9275777380335,0.05749885207947323,True
47,181.63979190713383,130.2316652763668,128.2316652763668,66.23166527636681,66.73166527636681,-0.006721311675603635,0.009987599660541625,329.4120302355171,0.03460021939748574,True
48,181.8721533351646,124.26866209809668,123.26866209809668,58.768662098096684,59.268662098096684,-0.003508940285189321,0.007188260215908663,237.08393128116816,0.022350048111941426,True
49,182.10456295614347,125.30564293720272,124.30564293720272,59.30564293720272,59.80564293720272,-0.0034797850094090217,0.007125930122060338,235.02815377133612,0.022177627916280643,True
50,182.33702074569914,125.34260778310318,124.34260778310318,59.342607783103176,60.342607783103176,-0.003478754663322383,0.010736202232530662,354.102516584573,0.03361744689660878,True
51,182.56952667946018,129.3795566252336,129.3795566252336,64.37955662523359,65.37955662523359,0.0,0.006693989641728511,220.78184881288377,0.02233036797033583,True
52,182.80208073305528,138.41648945304655,137.41648945304655,70.91648945304655,73.41648945304655,-0.0031489808531392897,0.01819536613613549,600.1214209118516,0.06467326858946638,True
53,183.0346828821131,142.45340625601125,142.45340625601125,75.95340625601125,76.95340625601125,0.0,0.00568059286070851,187.3578928659117,0.021017025873271845,True
54,183.26733310226223,145.4903070236137,146.4903070236137,79.4903070236137,79.4903070236137,0.0029748288693764537,-0.0029748288693764537,-98.1161090523109,-0.011267979578764041,True
55,183.50003136913136,127.52719174535696,129.52719174535696,60.52719174535696,60.02719174535696,0.006758153504042596,-0.01036065189165697,-341.7160769546795,-0.031507374776475014,True
56,183.7327776583491,139.56406041076048,141.56406041076048,74.06406041076048,74.06406041076048,0.00617941467625299,-0.00617941467625299,-203.8100848408715,-0.02220767722357259,True
57,183.96557194554416,135.6009130093612,138.6009130093612,69.6009130093612,69.6009130093612,0.009503477451844931,-0.009503477451844931,-313.44466219222966,-0.032280897796390054,True
58,184.1984142063451,148.63774953071243,150.63774953071243,81.63774953071243,81.63774953071243,0.005804697659781995,-0.005804697659781995,-191.45113000138483,-0.02205931376958283,True
59,184.4313044163806,135.67456996438455,136.67456996438455,67.67456996438455,68.67456996438455,0.003189262383744186,0.003181181451364139,104.92205094898664,0.010586915884144484,True
60,184.66424255127936,141.71137429996475,142.71137429996475,72.71137429996475,73.71137429996475,0.003053878591395798,0.0028782766024525236,94.93161234116337,0.009981427658037388,True
61,184.89722858666994,134.7481625270566,134.7481625270566,64.24816252705659,65.24816252705659,0.0,0.006707574361834162,221.2299014363648,0.02107256783731076,True
62,185.13026249818105,143.78493463528162,147.78493463528162,74.78493463528162,76.78493463528162,0.011916779515068898,-0.0004548790135561337,-15.002865999830192,-0.0016009724002121377,True
63,185.36334426144128,133.82169061427703,136.82169061427703,61.82169061427703,64.32169061427703,0.009628440242782851,0.0075881331529265815,250.27258125676883,0.02288397498708237,True
64,185.59647385207933,139.85843045369757,138.85843045369757,67.85843045369757,68.35843045369757,-0.003116398082516661,0.006304670294232751,207.94127840283693,0.020276652328279455,True
65,185.8296512457238,137.89515414321477,138.89515414321477,65.89515414321477,66.39515414321477,0.003138089437953067,0.00014481582948246358,4.77633045190278,0.0004516699549404316,True
66,186.06287641800333,131.93186167251656,130.93186167251656,58.93186167251656,59.43186167251656,-0.0033043477546490104,0.006973521492207938,230.00139680354943,0.02012486151058711,True
67,186.29614934454662,148.9685530313086,147.9685530313086,75.9685530313086,75.9685530313086,-0.00292517246851087,0.00292517246851087,96.4783365765133,0.010052202674310829,True
68,186.52947000098226,147.00522820931246,146.00522820931246,73.50522820931246,74.50522820931246,-0.002964373172040884,0.008832892203980924,291.32735118129847,0.029780676536725285,True
69,186.76283836293894,151.04188719626745,151.04188719626745,77.54188719626745,77.54188719626745,0.0,0.0,0.0,0.0,True
70,186.99625440604527,154.07852998192902,153.07852998192902,79.57852998192902,80.07852998192902,-0.002827843295389959,0.005548023046969607,182.98546175373917,0.01952345443824434,True
71,187.22971810592992,149.1151565560699,150.1151565560699,74.1151565560699,75.6151565560699,0.002902754698751898,0.005799070651695169,191.26553944699404,0.019284260339495554,True
72,187.4632294382215,143.15176690847943,143.15176690847943,67.65176690847943,68.15176690847943,0.0,0.003197976017875155,105.47597105385185,0.009872777313902624,True
73,187.6967883785487,151.1883610289642,153.1883610289642,75.18836102896421,77.68836102896421,0.005707410598536381,0.008497930658895269,280.2796153520965,0.028409887145733753,True
74,187.93039490254014,147.22493890734745,150.22493890734745,72.22493890734745,73.72493890734745,0.008760653292479692,0.0001665848892847266,5.494319801647407,0.0005387419570969549,True
75,188.16404898582445,161.26150053346896,162.26150053346896,86.26150053346896,86.76150053346896,0.0026847912734255194,-0.0001747452787011993,-5.76346659732971,-0.000642916102830503,True
76,188.3977506040303,152.29804589718628,154.29804589718628,76.29804589718628,77.79804589718628,0.0056660949544129514,0.0027891785322770955,91.99297070712706,0.009335027356239457,True
77,188.63149973278635,153.33457498837265,152.33457498837265,75.33457498837265,76.83457498837265,-0.002841608525642797,0.011403959360099343,376.1265502435981,0.03764381521957089,True
78,188.86529634772123,145.37108779691948,144.37108779691948,66.87108779691948,68.37108779691948,-0.002997811453799274,0.012631913158288991,416.627047604856,0.0381716792198362,True
79,189.09914042446354,147.4075843127339,145.4075843127339,68.40758431273389,68.90758431273389,-0.005932769640861028,0.009095540408783239,299.9900410489611,0.027657132390896906,True
80,189.333031938642,143.4440645257405,142.4440645257405,62.44406452574049,64.44406452574049,-0.0030382251587027886,0.016729985155305622,551.790076007154,0.047417041112158914,True
81,189.5669708658852,138.48052842588095,138.48052842588095,59.48052842588095,59.48052842588095,0.0,0.0,0.0,0.0,True
82,189.8009571818218,145.51697600311354,145.51697600311354,65.01697600311354,65.51697600311354,0.0,0.0033270777391996654,109.73401718844238,0.009554435916379445,True
83,190.03499086208046,145.55340724741313,147.55340724741313,65.55340724741313,67.05340724741313,0.00592686625885188,0.003898714909566012,128.58781261963136,0.011317755416021485,True
84,190.2690718822898,148.58982214877187,150.58982214877187,69.58982214877187,69.58982214877187,0.005806557493861192,-0.005806557493861192,-191.51247123859423,-0.01747139050220122,True
85,190.5032002180785,155.62622069719896,154.62622069719896,73.12622069719896,73.12622069719896,-0.0027996297718600096,0.0027996297718600096,92.33767455655014,0.008571786695815358,True
86,190.73737584507518,169.6626028827202,168.6626028827202,86.6626028827202,87.1626028827202,-0.002567327170597276,0.00506578921917167,167.08037648177412,0.01751525797041195,True
87,190.97159873890848,169.6989686953782,166.6989686953782,83.6989686953782,85.1989686953782,-0.0077462899879359795,0.015460520972630364,509.9204789128255,0.05166788467038347,True
88,191.20586887520705,168.73531812523288,167.73531812523288,82.23531812523288,82.73531812523288,-0.002581477928950089,0.005214042254286958,171.97007320028044,0.016844453716605423,True
89,191.44018622959956,159.77165116236029,159.77165116236029,73.27165116236029,72.27165116236029,0.0,-0.00596800140187874,-196.83723067196667,-0.01747340299022858,True
90,191.67455077771461,156.80796779685443,157.80796779685443,69.30796779685443,69.80796779685443,0.002760800679799757,0.00036102968490600573,11.907517874392568,0.0010186940041762719,True
91,191.9089624951809,159.84426801882523,157.84426801882523,69.84426801882523,69.34426801882523,-0.00546825170237879,0.0023480496917543192,77.44361431610739,0.006551619201822644,True
92,192.14342135762703,177.88055181840014,177.88055181840014,87.38055181840014,88.38055181840014,0.0,0.004941925820585026,162.9951012417687,0.016137284132814355,True
93,192.37792734068165,162.9168191857234,164.9168191857234,72.4168191857234,72.9168191857234,0.005299027543817792,-0.0023107572422595294,-76.21363094492087,-0.006540831928722004,True
94,192.61248041997345,181.95307011095565,182.95307011095565,90.95307011095565,89.95307011095565,0.002380313846306813,-0.0071816865896966176,-236.86711927126407,-0.023567154530366764,True
95,192.84708057113102,179.9893045842755,181.9893045842755,88.48930458427549,87.48930458427549,0.004799166473620331,-0.00973498405546481,-321.0802365948201,-0.031080001615321786,True
96,193.08172776978301,195.0255225958772,197.0255225958772,102.02552259587719,100.52552259587719,0.004431037791170076,-0.010863526267603757,-358.30193088998493,-0.037876504172601425,True
97,193.31642199155812,182.061724135973,183.061724135973,86.06172413597301,85.06172413597301,0.0023788971639482604,-0.007454758245501328,-245.87359646255413,-0.022649477778223587,True
98,193.55116321208493,180.09790919479133,180.09790919479133,82.09790919479133,82.59790919479133,0.0,0.0026369571517322887,86.97238961509329,0.007758994671879158,True
99,193.7859514069921,196.13407776257782,196.13407776257782,96.13407776257782,97.13407776257782,0.0,0.0044942567637870886,148.23003477078942,0.014618865245606643,True
100,194.0207865519083,209.17022982959497,209.17022982959497,106.17022982959497,107.17022982959497,0.0,0.004071404583024297,134.28348103527122,0.01392116836849507,True
101,194.25566862246217,201.20636538612234,200.20636538612234,96.70636538612234,96.70636538612234,-0.002163834612289992,0.002163834612289992,71.367813784566,0.0068237221195336486,True
102,194.49059759428232,205.24248442245607,204.24248442245607,98.24248442245607,97.74248442245607,-0.002121178447559997,-9.478447397364949e-05,-3.1261911838356724,-0.00029618730246120257,True
103,194.72557344299744,200.2785869289096,201.2785869289096,94.77858692890959,93.27858692890959,0.00216305626175645,-0.009091327331808046,-299.8510849146438,-0.02759379802259851,True
104,194.96059614423615,202.31467289581315,203.31467289581315,95.31467289581315,93.81467289581315,0.0021413409372546123,-0.00903033407204738,-297.8393990029807,-0.02725046213017482,True
